id;ref_act;description;date_debut;date_fin;raf;etat;livrable_id
1;alarm black Ergonomi;b customized;2023-05-07;2023-05-06;Buckinghamshire Automotive;Planifier;1
2;matrix a indigo;Bedfordshire;2023-05-06;2023-05-07;Kids;Planifier;2
3;Swaziland;ROI Sierra;2023-05-07;2023-05-06;Antigua-et-Barbuda Oberkampf Ball;Termine;3
4;Electronics Borders ;azure c;2023-05-07;2023-05-06;circuit attitude Berkshire;Planifier;4
5;c Avon;Credit encoding;2023-05-07;2023-05-06;functionalities;Planifier;5
6;interface SAS;Steel;2023-05-06;2023-05-07;Licensed tangible sensor;Termine;6
7;Gorgeous;b b Zimbabwe;2023-05-07;2023-05-07;oriental software;EnCours;7
8;auxiliary Bedfordshi;implement Keyboard;2023-05-07;2023-05-06;orchestration Health;Planifier;8
9;a;Incredible;2023-05-07;2023-05-07;infomediaries b back-end;EnCours;9
10;Games Fantastic Cors;a web-readiness;2023-05-06;2023-05-07;maximize Auvergne sensor;EnCours;10
