id;ref_facture;date_facture;montant;description;etat;client_id;projet_id
1;best-of-breed Shirt;2023-05-23;1461;Frozen Health;Bloque;1;1
2;facilitate;2023-05-23;44100;Buckinghamshire;Bloque;2;2
3;quantifying input;2023-05-22;60337;c;NonPaye;3;3
4;Stagiaire;2023-05-22;9424;bandwidth blue;Bloque;4;4
5;Metal Generic a;2023-05-23;17328;expedite Som;Paye;5;5
6;Berkshire Sleek;2023-05-23;76900;hard;Bloque;6;6
7;Shoes;2023-05-22;23692;disintermediate;Bloque;7;7
8;sensor b;2023-05-23;46049;Aquitaine Buckinghamshire;NonPaye;8;8
9;calculate Soft matri;2023-05-23;32241;Guinée Outdoors c;NonPaye;9;9
10;innovative;2023-05-22;29425;teal;Paye;10;10
