id;ref_livrable;date_debut;date_fin;description;etat;projet_id
1;Fresh;2023-05-07;2023-05-07;Languedoc-Roussillon seamless;EnCours;1
2;Car b;2023-05-07;2023-05-07;pink;Planifier;2
3;Steel Thaïlande;2023-05-07;2023-05-07;Pataca;Planifier;3
4;redundant c;2023-05-07;2023-05-06;portals metrics Kids;Termine;4
5;COM microchip deposi;2023-05-06;2023-05-07;deposit Account Coordinateur;EnCours;5
6;b Specialiste b;2023-05-07;2023-05-06;Open-architected;Planifier;6
7;Malte;2023-05-07;2023-05-07;hacking matrix;Termine;7
8;transition;2023-05-06;2023-05-07;Wooden;Planifier;8
9;Tools Plastic Hat;2023-05-07;2023-05-07;leading-edge input;Planifier;9
10;capacitor e-services;2023-05-07;2023-05-07;teal;EnCours;10
