id;ref_projet;type;description;datedebut;datefin;etat;client_id
1;Technicien;Externe;Limousin;2023-05-06;2023-05-07;EnCours;1
2;Basse-Normandie pixe;Externe;facilitate Managed engineer;2023-05-07;2023-05-07;Planifier;2
3;la b;Externe;interface;2023-05-07;2023-05-07;Planifier;3
4;Buckinghamshire Opti;Interne;bluetooth tan;2023-05-07;2023-05-07;Termine;4
5;array;Externe;mission-critical Outdoors deposit;2023-05-07;2023-05-07;EnCours;5
6;Electronics;Externe;JBOD;2023-05-07;2023-05-06;Termine;6
7;Hat bypass c;Interne;a multi-state a;2023-05-07;2023-05-07;Planifier;7
8;channels Loan Sports;Interne;Fundamental next-generation;2023-05-07;2023-05-06;Planifier;8
9;Cotton Chair;Externe;haptic Alsace;2023-05-07;2023-05-06;Termine;9
10;Lempira;Externe;mint Coordinateur deposit;2023-05-07;2023-05-06;Planifier;10
